id,Pos,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts
275,2,Shaw,54,54,MUN,88,3.709,84,3.016,84,3.259,82,2.681,80,4.028
276,3,Lingard,69,69,MUN,6,0.405,8,0.513,7,0.453,9,0.547,11,0.781
277,3,Fernandes,118,118,MUN,85,4.771,82,4.3,83,4.375,80,3.916,79,5.039
278,4,Martial,76,76,MUN,3,0.198,4,0.255,3,0.19,2,0.12,3,0.214
279,2,Telles,50,50,MUN,1,0.04,4,0.155,4,0.161,6,0.224,6,0.292
280,1,Henderson,48,48,MUN,0,0,1,0.038,3,0.119,3,0.113,7,0.304
281,3,Rashford,94,94,MUN,77,3.881,74,3.491,70,3.394,66,2.989,66,3.751
282,3,van de Beek,57,57,MUN,2,0.087,2,0.086,2,0.086,1,0.042,1,0.044
284,2,Lindelöf,48,48,MUN,87,3.073,86,2.543,77,2.59,76,2.154,75,3.205
285,3,McTominay,54,54,MUN,78,2.574,71,2.288,63,2.126,60,1.956,61,2.266
286,2,Bailly,49,49,MUN,56,2.079,28,0.968,18,0.644,17,0.532,20,0.885
288,2,Wan-Bissaka,54,54,MUN,88,3.203,85,2.613,84,2.839,84,2.38,81,3.527
289,3,Greenwood,76,76,MUN,48,2.568,52,2.607,43,2.247,50,2.386,47,2.842
459,3,Mata,48,48,MUN,0,0,0,0,0,0,0,0,0,0
485,3,Sancho,90,90,MUN,47,2.679,42,2.284,50,2.679,44,2.24,49,3.044
509,1,Heaton,40,40,MUN,0,0,0,0,0,0,0,0,0,0
510,2,Dalot,44,44,MUN,2,0.087,5,0.206,6,0.255,5,0.198,8,0.384
511,3,Pereira,50,50,MUN,0,0,0,0,0,0,0,0,0,0
512,3,Elanga,48,48,MUN,0,0,0,0,0,0,0,0,0,0
555,2,Varane,55,55,MUN,0,0,0,0,0,0,0,0,0,0
579,4,Ronaldo,126,126,MUN,85,4.932,82,4.465,83,4.516,79,4.019,77,4.962
