id,first_name,second_name,team,Top_100,Top_1K,Top_10K,Top_100K,Top_1M,Overall
129,James,Tomkins,6,0.0,0.0,0.0,0.0,0.0,0.0
130,James,McArthur,6,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
131,James,McCarthy,6,0.0,0.0,0.0,0.0,0.0,1.2012012012012012
132,Christian,Benteke,6,1.25,0.0,0.0,0.26109660574412535,0.5194805194805194,1.2012012012012012
133,Cheikhou,Kouyaté,6,0.0,0.0,0.0,0.0,0.0,0.45045045045045046
134,Joel,Ward,6,0.0,0.0,0.0,0.0,0.5194805194805194,0.45045045045045046
135,Martin,Kelly,6,0.0,0.0,0.0,0.0,0.2597402597402597,0.3003003003003003
136,Connor,Wickham,6,0.0,0.0,0.2702702702702703,0.26109660574412535,0.5194805194805194,0.9009009009009009
137,Andros,Townsend,6,0.0,0.0,0.0,0.0,0.0,0.9009009009009009
138,Luka,Milivojevic,6,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
139,Patrick,van Aanholt,6,0.0,0.0,0.0,0.0,0.2597402597402597,0.45045045045045046
140,Jordan,Ayew,6,0.0,0.0,0.0,0.0,0.0,2.1021021021021022
141,Wilfried,Zaha,6,5.0,1.7985611510791366,2.1621621621621623,2.3498694516971277,8.311688311688311,12.312312312312311
142,Jeffrey,Schlupp,6,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
143,Max,Meyer,6,0.0,0.0,0.0,0.0,0.0,0.0
144,Jairo,Riedewald,6,0.0,0.3597122302158274,0.0,0.7832898172323759,0.7792207792207793,1.5015015015015014
145,Nathan,Ferguson,6,0.0,0.3597122302158274,0.2702702702702703,0.5221932114882507,0.7792207792207793,0.45045045045045046
146,Tyrick,Mitchell,6,22.5,19.784172661870503,21.62162162162162,28.198433420365536,29.61038961038961,17.417417417417415
147,Brandon,Pierrick,6,0.0,0.0,0.0,0.0,0.0,0.0
486,Scott,Dann,6,0.0,0.0,0.0,0.0,0.0,0.6006006006006006
489,Eberechi,Eze,6,0.0,0.0,0.2702702702702703,0.0,0.0,0.3003003003003003
522,Sam,Woods,6,0.0,0.0,0.0,0.0,0.0,0.9009009009009009
534,Ryan,Inniss,6,0.0,0.0,0.0,0.0,0.0,0.0
577,Nathaniel,Clyne,6,0.0,0.3597122302158274,0.0,0.0,0.0,0.0
578,Stephen,Henderson,6,0.0,0.0,0.0,0.7832898172323759,0.0,0.6006006006006006
586,Jack,Butland,6,0.0,0.0,0.0,0.0,0.0,0.0
641,Jean-Philippe,Mateta,6,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
675,Reece,Hannam,6,0.0,0.0,0.0,0.0,0.0,0.0
688,Jesurun,Rak-Sakyi,6,0.0,0.0,0.0,0.0,0.0,0.0
149,Fabian,Delph,7,0.0,0.0,0.0,0.0,0.0,0.0
150,Gylfi,Sigurdsson,7,0.0,0.0,0.0,0.0,0.7792207792207793,1.3513513513513513
151,Jonas,Lössl,7,0.0,0.0,0.0,0.0,0.0,0.0
152,Seamus,Coleman,7,0.0,0.0,0.0,0.0,0.2597402597402597,0.3003003003003003
153,Cenk,Tosun,7,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
154,Bernard,Anício Caldeira Duarte,7,0.0,0.0,0.0,0.0,0.0,0.0
155,Lucas,Digne,7,8.75,5.39568345323741,5.9459459459459465,5.7441253263707575,4.675324675324675,6.606606606606606
156,Michael,Keane,7,0.0,0.7194244604316548,1.0810810810810811,1.3054830287206265,3.3766233766233764,6.006006006006006
157,Jordan,Pickford,7,1.25,0.0,0.5405405405405406,0.5221932114882507,1.2987012987012987,3.7537537537537538
158,André Filipe,Tavares Gomes,7,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
159,Alex,Iwobi,7,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
160,Jonjoe,Kenny,7,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
161,Jean-Philippe,Gbamin,7,0.0,0.0,0.0,0.0,0.0,0.0
162,Yerry,Mina,7,0.0,0.0,0.2702702702702703,0.26109660574412535,1.0389610389610389,3.303303303303303
163,Tom,Davies,7,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
164,Dominic,Calvert-Lewin,7,62.5,56.4748201438849,47.02702702702703,48.56396866840731,47.01298701298701,34.98498498498498
165,Mason,Holgate,7,0.0,0.0,0.5405405405405406,0.5221932114882507,1.0389610389610389,1.2012012012012012
166,Richarlison,de Andrade,7,2.5,1.079136690647482,0.2702702702702703,1.0443864229765014,1.0389610389610389,4.2042042042042045
167,João,Virgínia,7,0.0,0.0,0.0,0.0,0.0,0.0
168,Anthony,Gordon,7,0.0,0.0,0.0,0.0,0.2597402597402597,1.3513513513513513
169,Moise,Kean,7,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
170,Jarrad,Branthwaite,7,0.0,0.3597122302158274,0.2702702702702703,0.5221932114882507,0.2597402597402597,1.0510510510510511
502,Allan,Marques Loureiro,7,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
508,James,Rodríguez,7,0.0,1.4388489208633095,0.5405405405405406,0.26109660574412535,1.2987012987012987,9.45945945945946
512,Abdoulaye,Doucouré,7,0.0,0.0,0.0,0.0,0.2597402597402597,0.15015015015015015
559,Niels,Nkounkou,7,0.0,0.3597122302158274,0.0,0.0,0.0,0.0
566,Ben,Godfrey,7,0.0,0.3597122302158274,0.0,0.26109660574412535,0.0,0.0
573,Robin,Olsen,7,0.0,0.0,0.0,0.0,0.0,0.0
596,Ellis,Simms,7,0.0,0.0,0.0,0.0,0.0,0.0
644,Tyler,Onyango,7,0.0,0.0,0.0,0.0,0.0,0.0
651,Joshua,King,7,0.0,0.0,0.0,0.0,0.0,0.0
679,Kyle,John,7,0.0,0.0,0.0,0.0,0.0,0.0
680,Nathan,Broadhead,7,0.0,0.0,0.0,0.0,0.0,0.0
681,Ryan,Astley,7,0.0,0.0,0.0,0.0,0.0,0.0
682,Harry,Tyrer,7,0.0,0.0,0.0,0.0,0.0,0.0
690,Reece,Welch,7,0.0,0.0,0.0,0.0,0.0,0.0
691,Isaac,Price,7,0.0,0.0,0.0,0.0,0.0,0.0
115,Ruben,Loftus-Cheek,8,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
171,Fabricio,Agosto Ramírez,8,0.0,0.3597122302158274,0.0,0.7832898172323759,1.8181818181818181,2.4024024024024024
172,Kevin,McDonald,8,0.0,0.0,0.0,0.0,0.0,0.0
173,Maxime,Le Marchand,8,0.0,0.0,0.0,0.0,0.0,0.0
174,Stefan,Johansen,8,0.0,0.0,0.0,0.0,0.0,0.0
175,Tom,Cairney,8,0.0,0.0,0.0,0.0,0.0,0.0
176,Tim,Ream,8,0.0,0.0,0.0,0.0,0.0,0.0
177,Anthony,Knockaert,8,0.0,0.0,0.0,0.0,0.0,0.0
178,Michael,Hector,8,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
179,Cyrus,Christie,8,0.0,0.0,0.0,0.0,0.0,0.0
180,Neeskens,Kebano,8,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
181,Bobby,Decordova-Reid,8,1.25,0.7194244604316548,1.6216216216216217,0.7832898172323759,1.0389610389610389,1.2012012012012012
182,Joe,Bryan,8,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
183,Marcus,Bettinelli,8,0.0,0.0,0.0,0.0,0.0,0.0
184,Aleksandar,Mitrović,8,0.0,0.0,0.0,0.0,0.5194805194805194,4.354354354354354
185,Alfie,Mawson,8,0.0,0.0,0.0,0.0,0.0,0.0
186,Marek,Rodák,8,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
187,Ivan Ricardo,Neves Abreu Cavaleiro,8,0.0,0.0,0.2702702702702703,0.0,0.2597402597402597,0.15015015015015015
188,Josh,Onomah,8,0.0,0.0,0.0,0.0,0.0,0.0
189,Jean Michaël,Seri,8,0.0,0.0,0.0,0.0,0.0,0.0
190,Aboubakar,Kamara,8,0.0,0.0,0.0,0.0,0.0,0.0
191,André-Frank,Zambo Anguissa,8,1.25,1.7985611510791366,2.7027027027027026,2.088772845953003,1.8181818181818181,2.8528528528528527
192,Zeze Steven,Sessegnon,8,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
373,Harrison,Reed,8,0.0,0.0,0.8108108108108109,0.0,0.0,0.6006006006006006
484,Antonee,Robinson,8,0.0,0.0,0.0,0.26109660574412535,0.2597402597402597,0.45045045045045046
493,Mario,Lemina,8,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
516,Alphonse,Areola,8,12.5,10.79136690647482,8.91891891891892,5.7441253263707575,5.194805194805195,2.8528528528528527
517,Kenny,Tete,8,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
525,Denis,Odoi,8,0.0,0.0,0.0,0.0,0.0,0.0
557,Ademola,Lookman,8,3.75,2.5179856115107913,1.891891891891892,2.610966057441253,1.8181818181818181,0.3003003003003003
562,Ola,Aina,8,0.0,0.3597122302158274,0.0,0.26109660574412535,0.2597402597402597,0.3003003003003003
571,Joachim,Andersen,8,0.0,0.0,0.0,0.0,0.0,0.0
572,Tosin,Adarabioyo,8,0.0,0.0,0.0,0.5221932114882507,0.0,0.7507507507507507
585,Terence,Kongolo,8,0.0,0.0,0.0,0.0,0.0,0.0
665,Josh,Maja,8,0.0,0.0,0.0,0.0,0.0,0.0
695,Fabio,Carvalho,8,0.0,0.0,0.0,0.0,0.0,0.0
216,Wes,Morgan,9,0.0,0.0,0.0,0.0,0.0,0.0
217,Kasper,Schmeichel,9,0.0,0.7194244604316548,1.6216216216216217,2.610966057441253,4.675324675324675,10.21021021021021
218,Christian,Fuchs,9,0.0,0.0,0.0,0.0,0.2597402597402597,0.3003003003003003
219,Jonny,Evans,9,0.0,0.0,0.0,0.26109660574412535,0.0,0.9009009009009009
220,Adrien,Silva,9,0.0,0.0,0.0,0.0,0.0,0.0
221,Marc,Albrighton,9,1.25,0.0,0.0,0.0,0.0,0.15015015015015015
222,Matty,James,9,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
223,Danny,Ward,9,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
224,Jamie,Vardy,9,1.25,1.079136690647482,2.7027027027027026,1.5665796344647518,5.194805194805195,14.714714714714713
225,Dennis,Praet,9,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
226,Ricardo Domingos,Barbosa Pereira,9,0.0,0.0,0.0,0.0,0.2597402597402597,0.15015015015015015
227,Daniel,Amartey,9,0.0,0.0,0.2702702702702703,0.5221932114882507,0.2597402597402597,1.3513513513513513
228,Youri,Tielemans,9,0.0,0.7194244604316548,0.0,0.7832898172323759,1.2987012987012987,2.2522522522522523
229,Ayoze,Pérez,9,0.0,0.0,0.0,0.0,0.0,0.7507507507507507
230,Demarai,Gray,9,0.0,0.0,0.0,0.0,0.0,0.0
231,James,Maddison,9,12.5,11.870503597122301,14.324324324324325,18.27676240208877,20.0,13.813813813813812
233,Kelechi,Iheanacho,9,0.0,0.0,0.2702702702702703,0.0,0.0,0.15015015015015015
234,Hamza,Choudhury,9,0.0,0.0,0.0,0.0,0.0,0.0
235,Harvey,Barnes,9,6.25,7.194244604316546,7.567567567567568,7.310704960835509,8.051948051948052,6.156156156156156
236,Wilfred,Ndidi,9,0.0,0.0,0.0,0.0,0.0,0.6006006006006006
237,Filip,Benkovic,9,0.0,0.0,0.0,0.0,0.0,0.0
238,Çaglar,Söyüncü,9,0.0,0.0,0.0,0.0,0.0,3.153153153153153
239,James,Justin,9,46.25,42.805755395683455,47.83783783783784,49.60835509138381,49.87012987012987,26.276276276276278
240,Luke,Thomas,9,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
498,Timothy,Castagne,9,0.0,0.3597122302158274,0.8108108108108109,0.0,1.5584415584415585,4.504504504504505
518,Nampalys,Mendy,9,1.25,0.7194244604316548,0.5405405405405406,0.26109660574412535,0.7792207792207793,1.6516516516516515
541,Cengiz,Ünder,9,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
561,Wesley,Fofana,9,0.0,0.0,0.2702702702702703,0.0,0.0,1.2012012012012012
579,Islam,Slimani,9,0.0,0.0,0.0,0.0,0.0,0.0
660,Vontae,Daley-Campbell,9,0.0,0.0,0.0,0.0,0.0,0.0
661,Thakgalo,Leshabela,9,0.0,0.0,0.0,0.0,0.0,0.0
676,Sidnei,Tavares,9,0.0,0.0,0.0,0.0,0.0,0.0
