rank,prev_rank,name,league,off,def,spi
255,262.0,Cremonese,Italy Serie B,1.17,1.28,42.73
256,277.0,Nashville SC,Major League Soccer,1.21,1.33,42.66
257,258.0,Guangzhou Evergrande,Chinese Super League,1.43,1.59,42.61
258,265.0,Sporting de Charleroi,Belgian Jupiler League,1.32,1.47,42.47
259,261.0,Omonia Nicosia,UEFA Europa Conference League,1.32,1.47,42.46
260,249.0,NEC,Dutch Eredivisie,1.36,1.52,42.4
261,263.0,Salernitana,Italy Serie A,1.4,1.57,42.39
262,291.0,Swansea City,English League Championship,1.12,1.25,42.18
263,271.0,Almeria,Spanish Segunda Division,1.1,1.24,42.17
264,266.0,FC Arouca,Portuguese Liga,1.19,1.34,42.17
265,319.0,Silkeborg,Danish SAS-Ligaen,1.25,1.43,41.78
266,247.0,Monza,Italy Serie B,1.22,1.38,41.75
267,269.0,Ludogorets,UEFA Europa League,1.29,1.46,41.74
268,270.0,Talleres de Córdoba,Argentina Primera Division,1.15,1.3,41.74
269,280.0,Orlando City SC,Major League Soccer,1.3,1.48,41.72
270,256.0,Cuiaba,Brasileiro Série A,1.08,1.23,41.66
271,274.0,Sparta,Dutch Eredivisie,1.15,1.31,41.64
272,297.0,Paris FC,French Ligue 2,1.14,1.3,41.62
273,273.0,Union Santa Fe,Argentina Primera Division,1.04,1.19,41.6
274,315.0,Parma,Italy Serie B,1.15,1.31,41.56
275,290.0,Los Angeles Galaxy,Major League Soccer,1.34,1.53,41.53
276,260.0,Juventude,Brasileiro Série A,1.09,1.25,41.46
277,284.0,Benevento,Italy Serie B,1.14,1.31,41.45
278,324.0,Hearts,Scottish Premiership,1.17,1.35,41.43
279,257.0,Birmingham,English League Championship,1.2,1.38,41.39
280,278.0,Lanus,Argentina Primera Division,1.36,1.57,41.35
281,254.0,Atlético Goianiense,Brasileiro Série A,1.08,1.24,41.34
282,305.0,St Gallen,Swiss Raiffeisen Super League,1.56,1.8,41.3
283,281.0,Sporting Kansas City,Major League Soccer,1.3,1.51,41.3
284,268.0,Sivasspor,Turkish Turkcell Super Lig,1.24,1.43,41.22
285,275.0,SK Austria Klagenfurt,Austrian T-Mobile Bundesliga,1.24,1.45,41.03
286,230.0,Viking FK,Norwegian Tippeligaen,1.44,1.68,40.98
287,283.0,CA Independiente,Argentina Primera Division,1.02,1.19,40.97
288,239.0,AaB,Danish SAS-Ligaen,1.32,1.55,40.88
289,292.0,Portland Timbers,Major League Soccer,1.39,1.63,40.86
