id,first_name,second_name,team,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
144,Conor,Gallagher,7,0.0,0.4,0.15,0.22499999999999998,0.54,1.3333333333333335,2.924
146,Vicente,Guaita,7,1.3333333333333335,2.6,1.4000000000000001,1.875,2.64,3.913333333333333,5.292
147,James,Tomkins,7,0.0,0.0,0.0,0.0,0.0,0.0,0.004
148,James,McArthur,7,0.0,0.0,0.0,0.0,0.04,0.04,0.128
149,Christian,Benteke,7,0.0,0.0,0.0,0.0,0.0,0.0,0.004
150,Cheikhou,Kouyaté,7,0.0,0.0,0.05,0.0,0.04,0.013333333333333334,0.04
151,Martin,Kelly,7,0.0,1.2,1.0999999999999999,0.9249999999999999,1.0999999999999999,0.9400000000000001,1.024
152,Luka,Milivojevic,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Jordan,Ayew,7,0.0,0.0,0.0,0.0,0.08,0.15333333333333335,0.264
154,Wilfried,Zaha,7,0.0,2.1999999999999997,1.35,1.575,1.66,1.8533333333333333,2.528
155,Jeffrey,Schlupp,7,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.004
156,Jack,Butland,7,0.0,0.0,0.0,0.0,0.0,0.02,0.036000000000000004
157,Jairo,Riedewald,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Jarosław,Jach,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,Jean-Philippe,Mateta,7,5.333333333333334,11.0,13.55,12.675,13.62,13.139999999999999,10.5
160,Eberechi,Eze,7,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
161,Nathan,Ferguson,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,Tyrick,Mitchell,7,0.0,0.0,0.35000000000000003,0.775,0.9400000000000001,1.1866666666666665,1.788
386,Will,Hughes,7,0.0,0.0,0.0,0.0,0.0,0.0,0.004
464,Michael,Olise,7,0.0,0.2,0.2,0.17500000000000002,0.36,0.22666666666666668,0.26
474,Joel,Ward,7,0.0,0.0,0.0,0.0,0.0,0.0,0.008
477,Marc,Guéhi,7,0.0,0.8,0.35000000000000003,0.8,1.1199999999999999,1.48,2.088
488,Joachim,Andersen,7,0.0,0.2,0.65,1.0,1.28,2.06,3.2359999999999998
493,Nathaniel,Clyne,7,0.0,0.2,0.15,0.15,0.2,0.41333333333333333,0.504
540,Reece,Hannam,7,0.0,0.0,0.0,0.0,0.0,0.0,0.016
541,Jesurun,Rak-Sakyi,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
542,Robert,Street,7,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.036000000000000004
