id,first_name,second_name,team,name
390,Adam,Masina,18,Adam Masina
391,Ken,Sema,18,Ken Sema
392,Philip,Zinckernagel,18,Philip Zinckernagel
393,Isaac,Success Ajayi,18,Isaac Success Ajayi
394,Ayotomiwa,Dele-Bashiru,18,Ayotomiwa Dele-Bashiru
395,Ashley,Fletcher,18,Ashley Fletcher
396,Francisco,Sierralta,18,Francisco Sierralta
397,Domingos,Quina,18,Domingos Quina
398,Marc,Navarro,18,Marc Navarro
399,Ismaila,Sarr,18,Ismaila Sarr
400,Jeremy,Ngakia,18,Jeremy Ngakia
401,Ben,Wilmot,18,Ben Wilmot
402,Joseph,Hungbo,18,Joseph Hungbo
403,Imrân,Louza,18,Imrân Louza
404,João Pedro,Junqueira de Jesus,18,João Pedro Junqueira de Jesus
405,Kwadwo,Baah,18,Kwadwo Baah
450,Emmanuel,Dennis,18,Emmanuel Dennis
454,Matthew,Pollock,18,Matthew Pollock
467,Oghenekaro Peter,Etebo,18,Oghenekaro Peter Etebo
468,Joshua,King,18,Joshua King
469,Adedapo,Awokoya-Mebude,18,Adedapo Awokoya-Mebude
